Designator,Mid X,Mid Y,Layer,Rotation
C201,140.9000,-34.1000,bottom,90.00
C202,154.6000,-38.3000,bottom,90.00
C203,186.8000,-54.3000,bottom,90.00
C204,159.6000,-52.0000,bottom,0.00
C205,160.4000,-54.3000,bottom,90.00
C206,139.8000,-58.9000,bottom,270.00
C210,166.8000,-54.3000,bottom,90.00
C211,168.4000,-54.3000,bottom,90.00
C212,170.0000,-54.3000,bottom,90.00
C213,171.6000,-54.3000,bottom,90.00
C214,173.2000,-54.3000,bottom,90.00
C215,174.8000,-54.3000,bottom,90.00
C216,138.2000,-58.9000,bottom,270.00
C217,136.6000,-58.9000,bottom,270.00
C218,143.0000,-58.9000,bottom,270.00
C219,141.4000,-58.9000,bottom,270.00
C220,163.6000,-54.3000,bottom,90.00
C221,165.2000,-54.3000,bottom,90.00
D1,43.1800,-42.1000,bottom,90.00
D10,252.7300,-42.1000,bottom,90.00
D100,307.4987,-146.8750,bottom,90.00
D101,333.6925,-146.8750,bottom,90.00
D102,352.7425,-146.8750,bottom,90.00
D103,371.7925,-146.8750,bottom,90.00
D104,405.1300,-146.8750,bottom,90.00
D105,433.7050,-146.8750,bottom,90.00
D106,290.8375,-88.9250,bottom,90.00
D107,299.4937,-111.4750,bottom,90.00
D108,53.5063,-133.5250,bottom,0.00
D11,271.7800,-42.1000,bottom,90.00
D12,290.8300,-42.1000,bottom,90.00
D126,447.6750,-38.1000,top,0.00
D128,428.6250,-38.1000,top,0.00
D13,309.8800,-42.1000,bottom,90.00
D14,333.6925,-42.1000,bottom,90.00
D15,352.7425,-42.1000,bottom,90.00
D16,371.7925,-42.1000,bottom,90.00
D17,43.1800,-70.6750,bottom,90.00
D18,62.2300,-70.6750,bottom,90.00
D19,81.2800,-70.6750,bottom,90.00
D2,81.2800,-42.1000,bottom,90.00
D20,100.3300,-70.6750,bottom,90.00
D21,119.3800,-70.6750,bottom,90.00
D22,138.4300,-70.6750,bottom,90.00
D23,157.4800,-70.6750,bottom,90.00
D24,176.5300,-70.6750,bottom,90.00
D25,195.5800,-70.6750,bottom,90.00
D26,214.6300,-70.6750,bottom,90.00
D27,233.6800,-70.6750,bottom,90.00
D28,252.7300,-70.6750,bottom,90.00
D29,271.7800,-70.6750,bottom,90.00
D3,100.3300,-42.1000,bottom,90.00
D30,300.3550,-70.6750,bottom,90.00
D31,333.6925,-70.6750,bottom,90.00
D32,352.7425,-70.6750,bottom,90.00
D33,371.7925,-70.6750,bottom,90.00
D34,395.6050,-70.6750,bottom,90.00
D35,414.6550,-70.6750,bottom,90.00
D36,433.7050,-70.6750,bottom,90.00
D37,452.7550,-70.6750,bottom,90.00
D38,47.9425,-89.7250,bottom,90.00
D39,71.7550,-89.7250,bottom,90.00
D4,119.3800,-42.1000,bottom,90.00
D40,90.8050,-89.7250,bottom,90.00
D41,109.8550,-89.7250,bottom,90.00
D42,128.9050,-89.7250,bottom,90.00
D43,147.9550,-89.7250,bottom,90.00
D44,167.0050,-89.7250,bottom,90.00
D45,186.0550,-89.7250,bottom,90.00
D46,205.1050,-89.7250,bottom,90.00
D47,224.1550,-89.7250,bottom,90.00
D48,243.2050,-89.7250,bottom,90.00
D49,262.2550,-89.7250,bottom,90.00
